Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Burgess, Alison; Nhan, Tam; Moffatt, Clare; Klibanov, AL; Hynynen, Kullervo; ",Analysis of focused ultrasound-induced blood–brain barrier permeability in a mouse model of Alzheimer's disease using two-photon microscopy,Journal of controlled release,192,,243-248,2014,Elsevier,
"Nisancioglu, Maya H; Betsholtz, Christer; Genové, Guillem; ",The absence of pericytes does not increase the sensitivity of tumor vasculature to vascular endothelial growth factor-A blockade,Cancer research,70,12,5109-5115,2010,AACR,
"Lang, Sabrina; Müller, Bert; Dominietto, Marco D; Cattin, Philippe C; Zanette, Irene; Weitkamp, Timm; Hieber, Simone E; ",Three-dimensional quantification of capillary networks in healthy and cancerous tissues of two mice,Microvascular research,84,3,314-322,2012,Elsevier,Read
"Gligorijevic, Bojana; Bergman, Aviv; Condeelis, John; ",Multiparametric classification links tumor microenvironments with tumor cell phenotype,PLoS biology,12,11,e1001995,2014,"Public Library of Science San Francisco, USA",Pass
"Bruns, Christiane J; Koehl, Gudrun E; Guba, Markus; Yezhelyev, Maksim; Steinbauer, Markus; Seeliger, Hendrik; Schwend, Astrid; Hoehn, Anna; Jauch, Karl-Walter; Geissler, Edward K; ",Rapamycin-induced endothelial cell death and tumor vessel thrombosis potentiate cytotoxic therapy against pancreatic cancer,Clinical cancer research,10,6,2109-2119,2004,AACR,
"Missbach-Guentner, Jeannine; Dullin, Christian; Kimmina, Sarah; Zientkowska, Marta; Domeyer-Missbach, Melanie; Malz, Cordula; Grabbe, Eckhardt; Stühmer, Walter; Alves, Frauke; ",Morphologic changes of mammary carcinomas in mice over time as monitored by flat-panel detector volume computed tomography,Neoplasia,10,7,663-673,2008,Elsevier,Pass
"Farrar, CT; Ley, CD; Kamoun, W; Kim, YR; Rosen, BR; Jain, RK; Sorensen, AG; ",Validation of different MRI vessel caliber index models with in-vivo 2-photon microscopy measurements of vessel caliber in a U87 mouse brain tumor model,,,,,,,Pass-abstract
"Szulzewsky, Frank; Schwendinger, Nina; Güneykaya, Dilansu; Cimino, Patrick J; Hambardzumyan, Dolores; Synowitz, Michael; Holland, Eric C; Kettenmann, Helmut; ",Loss of host-derived osteopontin creates a glioblastoma-promoting microenvironment,Neuro-oncology,20,3,355-366,2018,Oxford University Press US,
"Wu, C; Liu, Y; Zhang, FF; Schwartzman, M; ",The Role of Prostate Cancer 20-HETE in Tumor Vasculature,"International Journal of Radiation Oncology, Biology, Physics",84,3,S667,2012,Elsevier,Pass-abstract
"Goertz, Lukas; Schneider, Stefan Werner; Desch, Anna; Mayer, Frank Thomas; Koett, Julian; Nowak, Kai; Karampinis, Ioannis; Bohlmann, Michael K; Umansky, Viktor; Bauer, Alexander Thomas; ",Heparins that block VEGF-A-mediated von Willebrand factor fiber generation are potent inhibitors of hematogenous but not lymphatic metastasis,Oncotarget,7,42,68527,2016,"Impact Journals, LLC",Pass
"Scherer, Elias Q; Yang, Jingli; Canis, Martin; Reimann, Katrin; Ivanov, Karolina; Diehl, Christian D; Backx, Peter H; Wier, W Gil; Strieth, Sebastian; Wangemann, Philine; ",Tumor necrosis factor-α enhances microvascular tone and reduces blood flow in the cochlea via enhanced sphingosine-1-phosphate signaling,Stroke,41,11,2618-2624,2010,Am Heart Assoc,
"Blouw, Barbara; Seals, Darren F; Pass, Ian; Diaz, Begoña; Courtneidge, Sara A; ",A role for the podosome/invadopodia scaffold protein Tks5 in tumor growth in vivo,European journal of cell biology,87,9-Aug,555-567,2008,Elsevier,
"Wörmann, Sonja M; Song, Liang; Ai, Jiaoyu; Diakopoulos, Kalliope N; Kurkowski, Magdalena U; Görgülü, Kivanc; Ruess, Dietrich; Campbell, Andrew; Doglioni, Claudio; Jodrell, Duncan; ","Loss of P53 function activates JAK2–STAT3 signaling to promote pancreatic tumor growth, stroma modification, and gemcitabine resistance in mice and is associated with patient survival",Gastroenterology,151,1,180-193. e12,2016,Elsevier,
"Åkerblom, Björn; Zang, Guangxiang; Zhuang, Zhen W; Calounova, Gabriela; Simons, Michael; Welsh, Michael; ",Heterogeneity among RIP-Tag2 insulinomas allows vascular endothelial growth factor-A independent tumor expansion as revealed by studies in Shb mutant mice: Implications for tumor angiogenesis,Molecular oncology,6,3,333-346,2012,Elsevier,
"Araki, Tomoya; Ogawara, Ken-ichi; Suzuki, Haruka; Kawai, Rie; Watanabe, Taka-ichi; Ono, Tsutomu; Higaki, Kazutaka; ",Augmented EPR effect by photo-triggered tumor vascular treatment improved therapeutic efficacy of liposomal paclitaxel in mice bearing tumors with low permeable vasculature,Journal of controlled release,200,,106-114,2015,Elsevier,Pass
"Torii, Masae; Fukui, Toshifumi; Inoue, Masashi; Kanao, Shotaro; Umetani, Keiji; Shirai, Mikiyasu; Inagaki, Tadakatsu; Tsuchimochi, Hirotsugu; Pearson, James T; Toi, Masakazu; ",Analysis of the microvascular morphology and hemodynamics of breast cancer in mice using SPring-8 synchrotron radiation microangiography,Journal of synchrotron radiation,24,5,1039-1047,2017,International Union of Crystallography,
"Hansen-Algenstaedt, Nils; Stoll, Brian R; Padera, Timothy P; Dolmans, Dennis EJGJ; Hicklin, Daniel J; Fukumura, Dai; Jain, Rakesh K; ","Tumor oxygenation in hormone-dependent tumors during vascular endothelial growth factor receptor-2 blockade, hormone ablation, and chemotherapy",Cancer research,60,16,4556-4560,2000,AACR,
"Konerding, MA; Miodonski, AJ; Lametschwandtner, Alios; ",Microvascular corrosion casting in the study of tumor vascularity: a review,Scanning microscopy,9,4,25,1995,,Review
"Barretto, Robert PJ; Ko, Tony H; Jung, Juergen C; Wang, Tammy J; Capps, George; Waters, Allison C; Ziv, Yaniv; Attardo, Alessio; Recht, Lawrence; Schnitzer, Mark J; ",Time-lapse imaging of disease progression in deep brain areas using fluorescence microendoscopy,Nature medicine,17,2,223-228,2011,Nature Publishing Group US New York,
"Manegold, Philipp C; Hutter, Joerg; Pahernik, Sascha A; Messmer, Konrad; Dellian, Marc; ",Platelet-endothelial interaction in tumor angiogenesis and microcirculation,"Blood, The Journal of the American Society of Hematology",101,5,1970-1976,2003,"American Society of Hematology Washington, DC",
"Nakatsu, Martin N; Sainson, Richard CA; Pérez-del-Pulgar, Sofía; Aoto, Jason N; Aitkenhead, Mark; Taylor, Kevin L; Carpenter, Philip M; Hughes, Christopher CW; ",VEGF121 and VEGF165 regulate blood vessel diameter through vascular endothelial growth factor receptor 2 in an in vitro angiogenesis model,Laboratory investigation,83,12,1873-1885,2003,Nature Publishing Group,Pass
"Schaefer, Christian; Schroeder, Malte; Fuhrhop, Ina; Viezens, Lennart; Otten, Jasmin; Fiedler, Walter; Rüther, Wolfgang; Hansen‐Algenstaedt, Nils; ","Primary tumor dependent inhibition of tumor growth, angiogenesis, and perfusion of secondary breast cancer in bone",Journal of Orthopaedic Research,29,8,1251-1258,2011,Wiley Online Library,
"Farrar, Christian T; Kamoun, Walid S; Ley, Carsten D; Kim, Young R; Catana, Ciprian; Kwon, Seon J; Rosen, Bruce R; Jain, Rakesh K; Sorensen, A Gregory; ",Sensitivity of MRI tumor biomarkers to VEGFR inhibitor therapy in an orthotopic mouse glioma model,PloS one,6,3,e17228,2011,"Public Library of Science San Francisco, USA",Pass
"Anikijenko, Peter; Vo, Liem T; Murr, Elise R; Carrasco, Jennifer; McLaren, Wendy J; King, Roger G; Chen, Qiyuan; Thomas, Steven G; Delaney, Peter M; ",In vivo detection of small subsurface melanomas in athymic mice using noninvasive fiber optic confocal imaging,Journal of Investigative Dermatology,117,6,1442-1448,2001,Elsevier,Pass
"Wenes, Mathias; Shang, Min; Di Matteo, Mario; Goveia, Jermaine; Martín-Pérez, Rosa; Serneels, Jens; Prenen, Hans; Ghesquière, Bart; Carmeliet, Peter; Mazzone, Massimiliano; ",Macrophage metabolism controls tumor blood vessel morphogenesis and metastasis,Cell metabolism,24,5,701-715,2016,Elsevier,
"Xu, Lei; Cochran, David M; Tong, Ricky T; Winkler, Frank; Kashiwagi, Satoshi; Jain, Rakesh K; Fukumura, Dai; ","Placenta growth factor overexpression inhibits tumor growth, angiogenesis, and metastasis by depleting vascular endothelial growth factor homodimers in orthotopic mouse models",Cancer research,66,8,3971-3977,2006,AACR,Pass
"Kirtane, Ameya R; Sadhukha, Tanmoy; Kim, Hyunjoon; Khanna, Vidhi; Koniar, Brenda; Panyam, Jayanth; ",Fibrinolytic enzyme cotherapy improves tumor perfusion and therapeutic efficacy of anticancer nanomedicine,Cancer research,77,6,1465-1475,2017,AACR,
"Fisher, Daniel T; Chen, Qing; Skitzki, Joseph J; Muhitch, Jason B; Zhou, Lei; Appenheimer, Michelle M; Vardam, Trupti D; Weis, Emily L; Passanese, Jessica; Wang, Wan-Chao; ",IL-6 trans-signaling licenses mouse and human tumor microvascular gateways for trafficking of cytotoxic T cells,The Journal of clinical investigation,121,10,3846-3859,2011,Am Soc Clin Investig,Pass
"Bonnin, Philippe; Villemain, Aude; Vincent, François; Debbabi, Haythem; Silvestre, Jean Sébastien; Contreres, Jean Olivier; Levy, Bernard I; Tobelem, Gérard; Dupuy, Evelyne; ",Ultrasonic assessment of hepatic blood flow as a marker of mouse hepatocarcinoma,Ultrasound in medicine & biology,33,4,561-570,2007,Elsevier,Pass
"Gautam, Shailendra K; Dalal, Vipin; Sajja, Balasrinivasa R; Gupta, Suprit; Gulati, Mansi; Dwivedi, Nidhi V; Aithal, Abhijit; Cox, Jesse L; Rachagani, Satyanarayana; Liu, Yutong; ",Endothelin-axis antagonism enhances tumor perfusion in pancreatic cancer,Cancer Letters,544,,215801,2022,Elsevier,
"Daruwalla, Jurstine; Greish, Khaled; Malcontenti-Wilson, Cathy; Muralidharan, Vijayaragavan; Iyer, Arun; Maeda, Hiroshi; Christophi, Chris; ",Styrene maleic acid-pirarubicin disrupts tumor microcirculation and enhances the permeability of colorectal liver metastases,Journal of vascular research,46,3,218-228,2009,S. Karger AG,Cannot access
"Michael, Iacovos P; Orebrand, Martina; Lima, Marta; Pereira, Beatriz; Volpert, Olga; Quaggin, Susan E; Jeansson, Marie; ",Angiopoietin-1 deficiency increases tumor metastasis in mice,BMC cancer,17,1,12-Jan,2017,BioMed Central,Pass
"Riedel, Tina; Cavin, Sabrina; van den Bergh, Hubert; Krueger, Thorsten; Liaudet, Lucas; Ris, Hans-Beat; Dyson, Paul J; Perentes, Jean Y; ",Chemo-manipulation of tumor blood vessels by a metal-based anticancer complex enhances antitumor therapy,Scientific reports,8,1,10263,2018,Nature Publishing Group UK London,
"原田浩; 松田道行; 横出正之; ニシ(トリイ),マサエ; ",Analysis of the microvascular morphology and hemodynamics of breast cancer in mice using SPring-8 synchrotron radiation microangiography,,,,,2018,Kyoto University,
"Simonsen, Trude G; Gaustad, Jon-Vidar; Leinaas, Marit N; Rofstad, Einar K; ",High interstitial fluid pressure is associated with tumor-line specific vascular abnormalities in human melanoma xenografts,PloS one,7,6,e40006,2012,"Public Library of Science San Francisco, USA",Pass
"Brurberg, Kjetil G; Gaustad, Jon-Vidar; Mollatt, Camilla S; Rofstad, Einar K; ",Temporal heterogeneity in blood supply in human tumor xenografts,Neoplasia,10,7,727-735,2008,Elsevier,Pass
"Watkins, Stacey; Robel, Stefanie; Kimbrough, Ian F; Robert, Stephanie M; Ellis-Davies, Graham; Sontheimer, Harald; ",Disruption of astrocyte–vascular coupling and the blood–brain barrier by invading glioma cells,Nature communications,5,1,4196,2014,Nature Publishing Group UK London,Pass
"Gulliksrud, Kristine; Galappathi, Kanthi; Rofstad, Einar K; ",Interstitial fluid pressure and vascularity of intradermal and intramuscular human tumor xenografts,International Journal of Radiation Oncology* Biology* Physics,80,1,258-264,2011,Elsevier,
"Meng, Ya-Ming; Jiang, Xue; Zhao, Xinbao; Meng, Qiong; Wu, Sangqing; Chen, Yitian; Kong, Xiangzhan; Qiu, Xiaoyi; Su, Liangping; Huang, Cheng; ",Hexokinase 2-driven glycolysis in pericytes activates their contractility leading to tumor blood vessel abnormalities,Nature Communications,12,1,6011,2021,Nature Publishing Group UK London,
"Taleb, Mohammad; Ding, Yanping; Wang, Bin; Yang, Na; Han, Xuexiang; Du, Chong; Qi, Yingqiu; Zhang, Yinlong; Sabet, Zeinab Farhadi; Alanagh, Hamideh Rezvani; ",Dopamine Delivery via pH‐Sensitive Nanoparticles for Tumor Blood Vessel Normalization and an Improved Effect of Cancer Chemotherapeutic Drugs,Advanced Healthcare Materials,8,18,1900283,2019,Wiley Online Library,
"Reeves, KJ; Reed, MWR; Brown, NJ; ",The role of nitric oxide in the treatment of tumours with aminolaevulinic acid-induced photodynamic therapy,Journal of Photochemistry and Photobiology B: Biology,101,3,224-232,2010,Elsevier,
"Drevs, Joachim; Müller-Driver, Ralph; Wittig, Christine; Fuxius, Stefan; Esser, Norbert; Hugenschmidt, Harald; Konerding, Moritz A; Allegrini, Peter R; Wood, Jeanette; Hennig, Jürgen; ","PTK787/ZK 222584, a specific vascular endothelial growth factor-receptor tyrosine kinase inhibitor, affects the anatomy of the tumor vascular bed and the functional vascular properties as detected by dynamic enhanced magnetic resonance imaging",Cancer research,62,14,4015-4022,2002,AACR,
"Dewhirst, Mark W; Secomb, Timothy W; ",Transport of drugs from blood vessels to tumour tissue,Nature Reviews Cancer,17,12,738-750,2017,Nature Publishing Group UK London,Review
"Gaustad, Jon-Vidar; Simonsen, Trude G; Leinaas, Marit N; Rofstad, Einar K; ",Sunitinib treatment does not improve blood supply but induces hypoxia in human melanoma xenografts,BMC cancer,12,,15-Jan,2012,Springer,
"Fukumura, DAI; Jain, Rakesh K; ",Imaging angiogenesis and the microenvironment,Apmis,116,7‐8,695-715,2008,Wiley Online Library,Review
"Duda, Dan G; Cohen, Kenneth S; Kozin, Sergey V; Perentes, Jean Y; Fukumura, Dai; Scadden, David T; Jain, Rakesh K; ",Evidence for bone marrow-derived endothelial cells incorporation into perfused blood vessels in tumors,,,,,2005,,Pass
"Liu, Huan; Qiu, Yikai; Pei, Xiuying; Chitteti, Ramamurthy; Steiner, Rebbeca; Zhang, Shuya; Jin, Zheng Gen; ",Endothelial specific YY1 deletion restricts tumor angiogenesis and tumor growth,Scientific Reports,10,1,20493,2020,Nature Publishing Group UK London,
"Reis, Marco; Czupalla, Cathrin J; Ziegler, Nicole; Devraj, Kavi; Zinke, Jenny; Seidel, Sascha; Heck, Rosario; Thom, Sonja; Macas, Jadranka; Bockamp, Ernesto; ",Endothelial Wnt/β-catenin signaling inhibits glioma angiogenesis and normalizes tumor blood vessels by inducing PDGF-B expression,Journal of Experimental Medicine,209,9,1611-1627,2012,The Rockefeller University Press,Pass
"Fukumura, Dai; Gohongi, Takeshi; Kadambi, Ananth; Izumi, Yotaro; Ang, Jennifer; Yun, Chae-Ok; Buerk, Donald G; Huang, Paul L; Jain, Rakesh K; ",Predominant role of endothelial nitric oxide synthase in vascular endothelial growth factor-induced angiogenesis and vascular permeability,Proceedings of the National Academy of Sciences,98,5,2604-2609,2001,National Acad Sciences,
"Zhong, Chongjin; Jiang, Chao; Ni, Suiying; Wang, Qizhi; Cheng, Lingge; Wang, Huan; Zhang, Qixiang; Liu, Wenyue; Zhang, Jingwei; Liu, Jiali; ",Identification of bioactive anti-angiogenic components targeting tumor endothelial cells in Shenmai injection using multidimensional pharmacokinetics,Acta Pharmaceutica Sinica B,10,9,1694-1708,2020,Elsevier,Pass
"Liu, Jieqiong; Liao, Shan; Huang, Yuhui; Samuel, Rekha; Shi, Tony; Naxerova, Kamila; Huang, Peigen; Kamoun, Walid; Jain, Rakesh K; Fukumura, Dai; ","PDGF-D improves drug delivery and efficacy via vascular normalization, but promotes lymphatic metastasis by activating CXCR4 in breast cancer",Clinical Cancer Research,17,11,3638-3648,2011,AACR,
"Schaffner, Florence; Versteeg, Henri H; Schillert, Anja; Yokota, Naho; Petersen, Lars C; Mueller, Barbara M; Ruf, Wolfram; ",Cooperation of tissue factor cytoplasmic domain and PAR2 signaling in breast cancer development,"Blood, The Journal of the American Society of Hematology",116,26,6106-6113,2010,"American Society of Hematology Washington, DC",Pass
"Faye, N; Fournier, L; Balvay, D; Taillieu, F; Cuenod, CA; Siauve, N; Clement, O; ",Dynamic contrast enhanced optical imaging of capillary leakage,Technology in cancer research & treatment,10,1,49-57,2011,"SAGE Publications Sage CA: Los Angeles, CA",Pass
"Yang, Yannan; Tang, Jie; Zhang, Min; Gu, Zhengying; Song, Hao; Yang, Yang; Yu, Chengzhong; ",Responsively aggregatable sub-6 nm nanochelators induce simultaneous antiangiogenesis and vascular obstruction for enhanced tumor vasculature targeted therapy,Nano Letters,19,11,7750-7759,2019,ACS Publications,Pass
"Hillen, Femke; Kaijzel, Eric L; Castermans, Karolien; oude Egbrink, Mirjam GA; Löwik, Clemens WGM; Griffioen, Arjan W; ",A transgenic Tie2-GFP athymic mouse model; a tool for vascular biology in xenograft tumors,Biochemical and biophysical research communications,368,2,364-367,2008,Elsevier,
"Li, Beilei; Zhang, Yiqiu; Wu, Weizhong; Du, Guohao; Cai, Liang; Shi, Hongcheng; Chen, Shaoliang; ",Neovascularization of hepatocellular carcinoma in a nude mouse orthotopic liver cancer model: a morphological study using X-ray in-line phase-contrast imaging,BMC cancer,17,1,11-Jan,2017,BioMed Central,Pass
"Donat, Ulrike; Weibel, Stephanie; Hess, Michael; Stritzker, Jochen; Härtl, Barbara; Sturm, Julia B; Chen, Nanhai G; Gentschev, Ivaylo; Szalay, Aladar A; ",Preferential colonization of metastases by oncolytic vaccinia virus strain GLV-1h68 in a human PC-3 prostate cancer model in nude mice,,,,,2012,"Public Library of Science San Francisco, USA",
"Nelson, Amy R; Sagare, Meghana A; Wang, Yaoming; Kisler, Kassandra; Zhao, Zhen; Zlokovic, Berislav V; ",Channelrhodopsin excitation contracts brain pericytes and reduces blood flow in the aging mouse brain in vivo,Frontiers in aging neuroscience,12,,108,2020,Frontiers Media SA,Pass
"Kretzschmann, Verena K; Gellrich, Donata; Ullrich, Angelika; Zahler, Stefan; Vollmar, Angelika M; Kazmaier, Uli; Fürst, Robert; ",Novel tubulin antagonist pretubulysin displays antivascular properties in vitro and in vivo,"Arteriosclerosis, Thrombosis, and Vascular Biology",34,2,294-303,2014,Am Heart Assoc,
"Camp, E Ramsay; Yang, Anthony; Liu, Wenbiao; Fan, Fan; Somcio, Ray; Hicklin, Daniel J; Ellis, Lee M; ",Roles of nitric oxide synthase inhibition and vascular endothelial growth factor receptor-2 inhibition on vascular morphology and function in an in vivo model of pancreatic cancer,Clinical cancer research,12,8,2628-2633,2006,AACR,
"Nagengast, Wouter B; Lub-de Hooge, Marjolijn N; Oosting, Sjoukje F; den Dunnen, Wilfred FA; Warnders, Frank-Jan; Brouwers, Adrienne H; de Jong, Johan R; Price, Patricia M; Hollema, Harry; Hospers, Geke AP; ",VEGF-PET imaging is a noninvasive biomarker showing differential changes in the tumor during sunitinib treatment,Cancer Research,71,1,143-153,2011,AACR,
"Jiang, Wen; Huang, Yuhui; An, Yi; Kim, Betty YS; ",Remodeling tumor vasculature to enhance delivery of intermediate-sized nanoparticles,ACS nano,9,9,8689-8696,2015,ACS Publications,
"Winkler, Frank; Kienast, Yvonne; Fuhrmann, Martin; Von Baumgarten, Louisa; Burgold, Steffen; Mitteregger, Gerda; Kretzschmar, Hans; Herms, Jochen; ",Imaging glioma cell invasion in vivo reveals mechanisms of dissemination and peritumoral angiogenesis,Glia,57,12,1306-1315,2009,Wiley Online Library,Pass
"Nico, Beatrice; Crivellato, Enrico; Guidolin, Diego; Annese, Tiziana; Longo, Vito; Finato, Nicoletta; Vacca, Angelo; Ribatti, Domenico; ",Intussusceptive microvascular growth in human glioma,Clinical and experimental medicine,10,,93-98,2010,Springer,Pass-Human
"Weißhardt, Philip; Trarbach, Tanja; Dürig, Jan; Paul, Andreas; Reis, Henning; Tilki, Derya; Miroschnik, Inna; Ergün, Süleyman; Klein, Diana; ",Tumor vessel stabilization and remodeling by anti-angiogenic therapy with bevacizumab,Histochemistry and cell biology,137,,391-401,2012,Springer,Pass
"Lozonschi, Lucian; Sunamura, Makoto; Kobari, Masao; Egawa, Shinichi; Ding, Lianghao; Matsuno, Seiki; ","Controlling tumor angiogenesis and metastasis of C26 murine colon adenocarcinoma by a new matrix metalloproteinase inhibitor, KB-R7785, in two tumor models",Cancer research,59,6,1252-1258,1999,AACR,
"Gee, Michael S; Saunders, H Mark; Lee, James C; Sanzo, James F; Jenkins, W Timothy; Evans, Sydney M; Trinchieri, Giorgio; Sehgal, Chandra M; Feldman, Michael D; F. Lee, William M; ",Doppler ultrasound imaging detects changes in tumor perfusion during antivascular therapy associated with vascular anatomic alterations,Cancer research,61,7,2974-2982,2001,AACR,Pass
"Mark, Jaron; Fisher, Dan T; Kim, Minhyung; Emmons, Tiffany; Khan, ANM Nazmul; Alqassim, Emad; Singel, Kelly; Mistarz, Anna; Lugade, Amit; Zhan, Haiying; ",Carboplatin enhances lymphocyte-endothelial interactions to promote CD8+ T cell trafficking into the ovarian tumor microenvironment,Gynecologic Oncology,168,,92-99,2023,Elsevier,
"Yttersian Sletta, Kristine; Tveitarås, Maria K; Lu, Ning; Engelsen, Agnete ST; Reed, Rolf K; Garmann-Johnsen, Annette; Stuhr, Linda; ",Oxygen-dependent regulation of tumor growth and metastasis in human breast cancer xenografts,PloS one,12,8,e0183254,2017,"Public Library of Science San Francisco, CA USA",Read
"Sugden, Wade W; Meissner, Robert; Aegerter-Wilmsen, Tinri; Tsaryk, Roman; Leonard, Elvin V; Bussmann, Jeroen; Hamm, Mailin J; Herzog, Wiebke; Jin, Yi; Jakobsson, Lars; ",Endoglin controls blood vessel diameter through endothelial cell shape changes in response to haemodynamic cues,Nature cell biology,19,6,653-665,2017,Nature Publishing Group UK London,
"Chien, Chia-Chi; Wang, CH; Wang, CL; Li, ER; Lee, KH; Hwu, Y; Lin, Chien-Yi; Chang, Shing-Jyh; Yang, CS; Petibois, Cyril; ",Synchrotron microangiography studies of angiogenesis in mice with microemulsions and gold nanoparticles,Analytical and bioanalytical chemistry,397,,2109-2116,2010,Springer,Pass
"Sharaf, Kariem; Ihler, Friedrich; Bertlich, Mattis; Reichel, Christoph A; Berghaus, Alexander; Canis, Martin; ",Tumor necrosis factor-induced decrease of cochlear blood flow can be reversed by etanercept or JTE-013,Otology & Neurotology,37,7,e203-e208,2016,LWW,Pass
