Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Note
"Marshall, Caroline B; ",Rethinking glomerular basement membrane thickening in diabetic nephropathy: adaptive or pathogenic?,American Journal of Physiology-Renal Physiology,311,5,F831-F843,2016,"American Physiological Society Bethesda, MD",Review article
"SHIBATA, MASAO; KISHI, TSUNEKI; YASUDA, BUNJI; KUNO, TSUNEHARU; ",The Inhibitory Erect of Lysozyme on the Glomerular Basement Membrane Thickening in Spontaneous Diabetic Mice (NSY Mice),The Tohoku Journal of Experimental Medicine,149,1,39-46,1986,Tohoku University Medical Press,Reported Mean±SD without sample size
"Williamson, JR; Kilo, C; ",Capillary basement membranes in diabetes,Diabetes,32,Supplement_2,96-100,1983,Am Diabetes Assoc,Review article
"Orci, L; Stauffacher, W; Amherdt, M; Pictet, R; Renold, AE; Rouiller, Ch; ",The kidney of spiny mice (Acomys cahirinus): Electron microscopy of glomerular changes associated with ageing and tubular glycogen accumulation during hyperglycemia,Diabetologia,6,3,343-355,1970,Springer,
"Naylor, Richard W; Morais, Mychel RPT; Lennon, Rachel; ",Complexities of the glomerular basement membrane,Nature Reviews Nephrology,17,2,112-127,2021,Nature Publishing Group UK London,Review article
"Vernier, Robert L; Steffes, Michael W; Sisson-Ross, Susan; Mauer, S Michael; ",Heparan sulfate proteoglycan in the glomerular basement membrane in type 1 diabetes mellitus,Kidney international,41,4,1070-1080,1992,Elsevier,Human
"Lubec, Barbara; Rokitansky, A; Hayde, M; Aufricht, C; Wagner, U; Mallinger, WR; Höger, H; Lubec, G; ",Thiaproline reduces glomerular basement membrane thickness and collagen accumulation in the db/db mouse,Nephron,66,3,333-336,1994,"S. Karger AG Basel, Switzerland",Cannot access
"Yagihashi, SYMN; Goto, Y; Kakizaki, M; Kaseda, N; ",Thickening of glomerular basement membrane in spontaneously diabetic rats,Diabetologia,15,,309-312,1978,Springer,Read
"Wnuk, Monika; Anderegg, Manuel A; Graber, Werner A; Buergy, Regula; Fuster, Daniel G; Djonov, Valentin; ",Neuropilin1 regulates glomerular function and basement membrane composition through pericytes in the mouse kidney,Kidney international,91,4,868-879,2017,Elsevier,Pass
"McCarthy, KJ; Abrahamson, DR; Bynum, KR; St John, PL; Couchman, JR; ",Basement membrane-specific chondroitin sulfate proteoglycan is abnormally associated with the glomerular capillary basement membrane of diabetic rats.,Journal of Histochemistry & Cytochemistry,42,4,473-484,1994,"SAGE Publications Sage CA: Los Angeles, CA",Pass
"Najafian, Behzad; Alpers, Charles E; Fogo, Agnes B; ",Pathology of human diabetic nephropathy,Diabetes and the Kidney,170,,36-47,2011,Karger Publishers,Human
"He, Cuiwen; Song, Wenxin; Weston, Thomas A; Tran, Caitlyn; Kurtz, Ira; Zuckerman, Jonathan E; Guagliardo, Paul; Miner, Jeffrey H; Ivanov, Sergey V; Bougoure, Jeremy; ",Peroxidasin-mediated bromine enrichment of basement membranes,Proceedings of the National Academy of Sciences,117,27,15827-15836,2020,National Acad Sciences,Pass
"Chen, Sheldon; Iglesias-De La Cruz, M Carmen; Jim, Belinda; Hong, Soon Won; Isono, Motohide; Ziyadeh, Fuad N; ",Reversibility of established diabetic glomerulopathy by anti-TGF-β antibodies in db/db mice,Biochemical and biophysical research communications,300,1,16-22,2003,Elsevier,
"Kanich, RE; Craighead, JE; Kessler, JB; ",Lesions of renal glomeruli in mice with virus-induced diabetes mellitus-like disease,Diabetologia,9,,203-209,1973,Springer,Pass
"Wu, W; You, Y; Huang, XR; Chen, H; Lan, HY; ",Sun-293 latent transforming growth factor-β1 protects against diabetic kidney injury in a type 1 diabetes mouse model,Kidney International Reports,4,7,S282,2019,Elsevier,Abstract. Pass
"Wu, W; You, Y; Huang, XR; Chen, H; Lan, HY; ",Latent Transforming Growth Factor-Β1 Protects Against Diabetic Kidney Injury In A Type 1 Diabetes Mouse Model,ISN World Congress of Nephrology 2019,,,,2019,Elsevier Inc. The Journal's web site is located at http://www. journals …,Abstract. Pass
"Wong, Denise W; ",The role of ACE2 in diabetic kidney injury in mice.,,,,,2007,"Library and Archives Canada= Bibliothèque et Archives Canada, Ottawa",
"Wong, Denise W; Oudit, Gavin Y; Reich, Heather; Kassiri, Zamaneh; Zhou, Joyce; Liu, Qiao C; Backx, Peter H; Penninger, Josef M; Herzenberg, Andrew M; Scholey, James W; ",Loss of angiotensin-converting enzyme-2 (Ace2) accelerates diabetic kidney injury,The American journal of pathology,171,2,438-451,2007,Elsevier,
"Liu, Fei; Chen, Hai-Yong; Huang, XR; Chung, Arthur Chi Kong; Zhou, Li; Fu, Ping; Szalai, Alexander J; Lan, HY; ",C-reactive protein promotes diabetic kidney disease in a mouse model of type 1 diabetes,Diabetologia,54,,2713-2723,2011,Springer,
"Zhang, Hongyu; Nair, Viji; Saha, Jharna; Atkins, Kevin B; Hodgin, Jeffrey B; Saunders, Thomas L; Myers Jr, Martin G; Werner, Thomas; Kretzler, Matthias; Brosius, Frank C; ",Podocyte-specific JAK2 overexpression worsens diabetic kidney disease in mice,Kidney international,92,4,909-921,2017,Elsevier,
"Chang, Jae-Hyung; Paik, Seung-Yeol; Mao, Lan; Eisner, William; Flannery, Patrick J; Wang, Liming; Tang, Yuping; Mattocks, Natalie; Hadjadj, Samy; Goujon, Jean-Michel; ",Diabetic kidney disease in FVB/NJ Akita mice: temporal pattern of kidney injury and urinary nephrin excretion,PloS one,7,4,e33942,2012,"Public Library of Science San Francisco, USA",Read
"Kędziora-Kornatowska, K; Szram, S; Kornatowski, T; Szadujkis-Szadurski, L; Kędziora, J; Bartosz, G; ",Effect of vitamin E and vitamin C supplementation on antioxidative state and renal glomerular basement membrane thickness in diabetic kidney,Nephron Experimental Nephrology,95,4,e134-e143,2003,S. Karger AG,
"Rasch, R; ",Prevention of diabetic glomerulopathy in streptozotocin diabetic rats by insulin treatment: glomerular basement membrane thickness,Diabetologia,16,,319-324,1979,Springer,
"Steffes, Michael W; Brown, DM; Basgen, JM; Matas, Arthur J; Mauer, SM; ",Glomerular basement membrane thickness following islet transplantation in the diabetic rat.,Laboratory Investigation; a Journal of Technical Methods and Pathology,41,2,116-118,1979,,Cannot access
"Ellis, Eileen N; Good, Barry H; ",Prevention of glomerular basement membrane thickening by aminoguanidine in experimental diabetes mellitus,Metabolism,40,10,1016-1019,1991,Elsevier,
"Cooper, Mark E; Allen, Terri J; Macmillan, PA; Clarke, BE; Jerums, George; Doyle, AE; ",Enalapril retards glomerular basement membrane thickening and albuminuria in the diabetic rat,Diabetologia,32,,326-328,1989,Springer,
"Oturai, Peter S; RASCH, RUTH; HASSELAGER, ERIK; JOHANSEN, PETER B; YOKOYAMA, HIROKI; THOMSEN, MADS K; MYRUP, BJARNE; KOFOED‐ENEVOLDSEN, ALLAN; DECKERT, TORSTEN; ",Effects of heparin and aminoguanidine on glomerular basement membrane thickening in diabetic rats,APMIS,104,1‐6,259-264,1996,Wiley Online Library,Cannot access
"Taylor, SA; Price, RG; Kang, SS; Yudkin, J; ",Modification of the glomerular basement membrane in sucrose-fed and streptozotocin-diabetic rats,Diabetologia,19,,364-372,1980,Springer,
"Brownlee, Michael; Spiro, Robert G; ",Glomerular basement membrane metabolism in the diabetic rat: in vivo studies,Diabetes,28,2,121-125,1979,Am Diabetes Assoc,Pass
"Yavuz, Dilek Gogas; Ersöz, Halil Önder; Tuncel, Mürvet; Sargon, Mustafa F; Küçükkaya, Belgin; Ahiskali, Rengin; Akalin, Sema; ",Effects of aminoguanidine on glomerular basement membrane thickness and anionic charge in a diabetic rat model,International journal of experimental diabetes research,2,3,225-232,2001,Hindawi,
"Østerby, R; Gundersen, HJG; ",Glomerular basement membrane thickening in streptozotocin diabetic rats despite treatment with an aldose reductase inhibitor,Journal of Diabetic Complications,3,3,149-153,1989,Elsevier,
"Chakrabarti, S; Ma, N; Sima, AAF; ",Reduced number of anionic sites is associated with glomerular basement membrane thickening in the diabetic BB-rat,Diabetologia,32,,826-828,1989,Springer,
"Hägg, Erik; ",GLOMERULAR BASEMENT MEMBRANE THICKENING IN RATS WITH LONG‐TERM ALLOXAN DIABETES: A Quantitative Electron Microscopic Study,Acta Pathologica Microbiologica Scandinavica Section A Pathology,82,2,211-219,1974,Wiley Online Library,Cannot access
"Cohen, MARCO P; Klein, CARLYN V; ",Glomerulopathy in rats with streptozotocin diabetes. Accumulation of glomerular basement membrane analogous to human diabetic nephropathy.,The Journal of experimental medicine,149,3,623-631,1979,,Human
"Carlson, Edward C; Vari, Richard C; Audette, Janice L; Finke, Michelle A; Ressler, Michael J; ",Significant glomerular basement membrane thickening in hyperglycemic and normoglycemic diabetic‐prone BB Wistar rats,"The Anatomical Record Part A: Discoveries in Molecular, Cellular, and Evolutionary Biology: An Official Publication of the American Association of Anatomists",281,2,1308-1318,2004,Wiley Online Library,
"Anderson, HR; Stitt, AW; Gardiner, TA; Archer, DB; ",Diabetic retinopathy: morphometric analysis of basement membrane thickening of capillaries in different retinal layers within arterial and venous environments.,British journal of ophthalmology,79,12,1120-1123,1995,BMJ Publishing Group Ltd,
"Goode, NP; Shires, M; Crellin, DM; Aparicio, SR; Davison, AM; ",Alterations of glomerular basement membrane charge and structure in diabetic nephropathy,Diabetologia,38,12,1455-1465,1995,Springer,Human
"Beisswenger, PAUL J; ",Glomerular basement membrane: biosynthesis and chemical composition in the streptozotocin diabetic rat.,The Journal of Clinical Investigation,58,4,844-852,1976,Am Soc Clin Investig,Pass
"Østerby, R; Seyer-Hansen, K; Gundersen, HJG; Lundbaek, K; ",Growth hormone enhances basement membrane thickening in experimental diabetes: a preliminary report,Diabetologia,15,,487-489,1978,Springer,Cannot access
"Fox, CJ; Darby, SC; Ireland, JT; Sönksen, PH; ",Blood glucose control and glomerular capillary basement membrane thickening in experimental diabetes,Br Med J,2,6087,605-607,1977,British Medical Journal Publishing Group,Read
"Azar, Dimitri T; Spurr-Michaud, Sandra J; Tisdale, Ann S; Gipson, Ilene K; ",Altered epithelial-basement membrane interactions in diabetic corneas,Archives of ophthalmology,110,4,537-540,1992,American Medical Association,Pass
"Macedo, Célia Sperandeo; Silva, MD; Spadella, César Tadeu; Breim, LC; Capeletti, S; Mercadante, MC; Hernandes, D; Macedo, AR; ",Effect of long-term treatment with insulin and/or acarbose on glomerular basement membrane thickening in alloxan-diabetic rats.,Brazilian Journal of Medical and Biological Research= Revista Brasileira de Pesquisas Medicas e Biologicas,29,10,1329-1335,1996,,Cannot access
"Gøtzsche, O; Gundersen, HJG; Østerby, R; ",Irreversibility of glomerular basement membrane accumulation despite reversibility of renal hypertrophy with islet transplantation in early experimental diabetes,Diabetes,30,6,481-485,1981,Am Diabetes Assoc,Pass
"Leow, CK; Gray, DWR; Morris, PJ; ",The long-term metabolic function of intraportal and renal subcapsular islet isografts and the effect on glomerular basement membrane thickness in rats,Diabetologia,38,,1014-1024,1995,Springer,
"Anderson, Sharon; Brenner, Barry M; ",Pathogenesis of diabetic glomerulopathy: hemodynamic considerations.,Diabetes/Metabolism Reviews,4,2,163-177,1988,,Review article
"Østerby, R; Gundersen, HJG; ",Fast accumulation of basement membrane material and the rate of morphological changes in acute experimental diabetic glomerular hypertrophy,Diabetologia,18,6,493-500,1980,Springer,Pass
"Rohrbach, R; ",Reduced content and abnormal distribution of anionic sites (acid proteoglycans) in the diabetic glomerular basement membrane,Virchows Archiv B,51,,127-135,1986,Springer,Human
"Yamauchi, Akira; Takei, Izumi; Makita, Zenji; Nakamoto, Shinya; Ohashi, Norimi; Kiguchi, Hideko; Ishii, Toshiharu; Koike, Takao; Saruta, Takao; ","Effects of aminoguanidine on serum advanced glycation endproducts, urinary albilmin excretion, mesangial expansion, and glomerular basement membrane thickening in Otsuka Long-Evans Tokushima fatty rats",Diabetes research and clinical practice,34,3,127-133,1997,Elsevier,
"Gambaro, Giovanni; Cavazzana, Andrea O; Luzi, Pietro; Piccoli, Antonio; Borsatti, Arturo; Crepaldi, Gaetano; Marchi, Egidio; Venturini, Anna P; Baggio, Bruno; ",Glycosaminoglycans prevent morphological renal alterations and albuminuria in diabetic rats,Kidney international,42,2,285-291,1992,Elsevier,Read
"Bell, Richard H; Fernandez-Cruz, Laureano; Brimm, John E; Sayers, Hazel A; Lee, Sun; Orloff, Marshall J; ",Prevention by whole pancreas transplantation of glomerular basement membrane thickening in alloxan diabetes,Surgery,88,1,31-40,1980,Elsevier,Cannot access
"Belligoli, Anna; Compagnin, Chiara; Sanna, Marta; Favaretto, Francesca; Fabris, Roberto; Busetto, Luca; Foletto, Mirto; Dal Prà, Chiara; Serra, Roberto; Prevedello, Luca; ",Characterization of subcutaneous and omental adipose tissue in patients with obesity and with different degrees of glucose impairment,Scientific reports,9,1,11333,2019,Nature Publishing Group UK London,Read
"Dosso, A; Rungger-Brändle, E; Rohner-Jeanrenaud, F; Ionescu, E; Guillaume-Gentil, C; Jeanrenaud, B; Leuenberger, PM; ",Ocular complications in the old and glucose-intolerant genetically obese (fa/fa) rat,Diabetologia,33,3,137-144,1990,Springer,Read
"Begieneman, Mark PV; Van De Goot, Frank RW; Krijnen, Paul AJ; Fritz, Jan; Paulus, Walter J; Spreeuwenberg, Marieke D; Van Hinsbergh, Victor WM; Niessen, Hans WM; ",The basement membrane of intramyocardial capillaries is thickened in patients with acute myocardial infarction,Journal of vascular research,47,1,54-60,2009,S. Karger AG,Read
"Velic, ANA; Laturnus, Donna; Chhoun, Jennifer; Zheng, Shirong; Epstein, Paul; Carlson, Edward; ",Diabetic basement membrane thickening does not occur in myocardial capillaries of transgenic mice when metallothionein is overexpressed in cardiac myocytes,The Anatomical Record,296,3,480-487,2013,Wiley Online Library,Read
"Fischer, Vernon W; Leskiw, M Lisa; Barner, Hendrick B; ",Myocardial structure and capillary basal laminar thickness in experimentally diabetic rats,Experimental and Molecular Pathology,35,2,244-256,1981,Elsevier,Pass-Basal laminar
"Tang, Junming; Xie, Qiyang; Pan, Guodong; Wang, Jianing; Wang, Mingjiang; ",Mesenchymal stem cells participate in angiogenesis and improve heart function in rat model of myocardial ischemia with reperfusion,European Journal of Cardio-Thoracic Surgery,30,2,353-361,2006,Elsevier Science BV,Pass
"Törnig, J; Amann, Kerstin; Ritz, Eberhard; Nichols, Cornelia; Zeier, Martin; Mall, Gerhard; ","Arteriolar wall thickening, capillary rarefaction and interstitial fibrosis in the heart of rats with renal failure: the effects of ramipril, nifedipine and moxonidine.",Journal of the American Society of Nephrology,7,5,667-675,1996,LWW,Pass
"Fischer, Vernon W; ",Modification of anionic sites in myocardial capillary basal laminae of diabetic rats,Microvascular research,37,1,42-52,1989,Elsevier,Pass-Basal laminar
"Wyatt, HL; Mitchell, JERE; ",Influences of physical conditioning and deconditioning on coronary vasculature of dogs,Journal of Applied Physiology,45,4,619-625,1978,,Didn't include because it's not about mice
"Ferrans, Victor J; Milei, Jose; Tomita, Yoshifumi; Storino, Ruben A; ",Basement membrane thickening in cardiac myocytes and capillaries in chronic Chagas' disease,The American journal of cardiology,61,13,1137-1140,1988,Elsevier,Pass
"Welt, K; Weiss, J; Koch, S; Fitzl, G; ",Protective effects of Ginkgo biloba extract EGb 761 on the myocardium of experimentally diabetic rats: II. Ultrastructural and immunohistochemical investigation on microvessels and interstitium,Experimental and Toxicologic Pathology,51,3,213-222,1999,Elsevier,Read
"Mall, Gerhard; Rambausek, Michael; Neumeister, Andrea; Kollmar, Sylvia; Vetterlein, Friedrich; Ritz, Eberhard; ",Myocardial interstitial fibrosis in experimental uremia—implications for cardiac compliance,Kidney international,33,4,804-811,1988,Elsevier,Pass
"Hayashi, T; Sohmiya, K; Ukimura, A; Endoh, S; Mori, T; Shimomura, H; Okabe, M; Terasaki, F; Kitaura, Y; ",Angiotensin II receptor blockade prevents microangiopathy and preserves diastolic function in the diabetic rat heart,Heart,89,10,1236-1242,2003,BMJ Publishing Group Ltd,No data reported
"Nemoto, Osamu; Kawaguchi, Michiko; Yaoita, Hiroyuki; Miyake, Katsuya; Maehara, Kazuhira; Maruyama, Yukio; ",Left ventricular dysfunction and remodeling in streptozotocin-induced diabetic rats,Circulation Journal,70,3,327-334,2006,The Japanese Circulation Society,Pass
"Poole, David C; Batra, Sanjay; Mathieu-Costello, Odile; Rakusan, Karel; ",Capillary geometrical changes with fiber shortening in rat myocardium.,Circulation research,70,4,697-706,1992,Am Heart Assoc,Pass
"Espino‐Gonzalez, Ever; Tickle, Peter G; Benson, Alan P; Kissane, Roger WP; Askew, Graham N; Egginton, Stuart; Bowen, T Scott; ","Abnormal skeletal muscle blood flow, contractile mechanics and fibre morphology in a rat model of obese‐HFpEF",The Journal of Physiology,599,3,981-1001,2021,Wiley Online Library,Pass
"Tilton, Ronald G; Kilo, Charles; Williamson, Joseph R; Murch, Donald W; ",Differences in pericyte contractile function in rat cardiac and skeletal muscle microvasculatures,Microvascular research,18,3,336-352,1979,Elsevier,Pass
"Song, Guoxin; Li, Xiuzhen; Guo, Shouyu; Wang, Min; Zhu, Shushu; ",Changes of Ultrastructure and eNOS of Myocardial Capillary Endothelial Cells in Rats with Hypertension and Diabetes.,Acta Microscopica,29,6,,2020,,Cannot access
"Ninomiya, Yoshifumi; Kagawa, Megumi; Iyama, Ken-ichi; Naito, Ichiro; Kishiro, Yumiko; Seyer, Jerome M; Sugimoto, Manabu; Oohashi, Toshitaka; Sado, Yoshikazu; ","Differential expression of two basement membrane collagen genes, COL4A6 and COL4A5, demonstrated by immunofluorescence staining using peptide-specific monoclonal antibodies.",The Journal of cell biology,130,5,1219-1229,1995,,Human
"Pettersson, Anna; Nagy, Janice A; Brown, Lawrence F; Sundberg, Christian; Morgan, Ellen; Jungles, Steven; Carter, Robert; Krieger, Jose E; Manseau, Eleanor J; Harvey, V Susan; ",Heterogeneity of the angiogenic response induced in different normal adult tissues by vascular permeability factor/vascular endothelial growth factor,Laboratory investigation,80,1,99-115,2000,Elsevier,Pass
"Bär, TH; Wolff, JR; ",The formation of capillary basement membranes during internal vascularization of the rat's cerebral cortex,Zeitschrift für Zellforschung und mikroskopische Anatomie,133,,231-248,1972,Springer,Cannot access
"Tanaka, Takao; Kono, Tatsuji; Terasaki, Fumio; Yasui, Kota; Soyama, Akiko; Otsuka, Kaoru; Fujita, Shuichi; Yamane, Kazuhiko; Manabe, Miki; Usui, Kazuya; ",Thiamine prevents obesity and obesity-associated metabolic disorders in OLETF rats,Journal of nutritional science and vitaminology,56,6,335-346,2010,Center for Academic Publications Japan,No data reported
"Abuderman, Abdulwahab; ",Morphological quantification of myocardial pathology in the Zucker diabetic fatty rat,,,,,2016,,Cannot access
"McCarthy, KJ; Couchman, JR; ",Basement membrane chondroitin sulfate proteoglycans: localization in adult rat tissues.,Journal of Histochemistry & Cytochemistry,38,10,1479-1486,1990,"SAGE Publications Sage CA: Los Angeles, CA",Pass
"Bayes-Genis, Antoni; Soler-Botija, Carolina; Farré, Jordi; Sepúlveda, Pilar; Raya, Angel; Roura, Santiago; Prat-Vidal, Cristina; Gálvez-Montón, Carolina; Montero, José Anastasio; Büscher, Dirk; ",Human progenitor cells derived from cardiac adipose tissue ameliorate myocardial infarction in rodents,Journal of molecular and cellular cardiology,49,5,771-780,2010,Elsevier,Pass
"Medeiros, Denis M; Davidson, Jeanette; Jenkins, James E; ",A unified perspective on copper deficiency and cardiomyopathy,Proceedings of the Society for Experimental Biology and Medicine,203,3,262-273,1993,"SAGE Publications Sage UK: London, England",Review article
"Tomono, Yasuko; Naito, Ichiro; Ando, Kaori; Yonezawa, Tomoko; Sado, Yoshikazu; Hirakawa, Satoshi; Arata, Jirô; Okigaki, Tohru; Ninomiya, Yoshifumi; ",Epitope-defined monoclonal antibodies against multiplexin collagens demonstrate that type XV and XVIII collagens are expressed in specialized basement membranes,Cell structure and function,27,1,20-Sep,2002,Japan Society for Cell Biology,Pass
"Fraselle-Jacobs, A; Jeanjean, Michel; Hauser, N; Remacle, Claude; ",Effect of aging on the morphology of epididymal adipose tissue in the rat,Experimental gerontology,22,6,389-408,1987,Elsevier,Read
"Jin, Cheng Ji; Yu, Sung Hoon; Wang, Xiao-Mei; Woo, Se Joon; Park, Hyo Jin; Lee, Hyun Chul; Choi, Sung Hee; Kim, Kyoung Min; Kim, Jung Hee; Park, Kyong Soo; ","The effect of lithospermic acid, an antioxidant, on development of diabetic retinopathy in spontaneously obese diabetic rats",PLoS One,9,6,e98232,2014,"Public Library of Science San Francisco, USA",Pass
"Palay, Sanford L; Karlin, Leonard J; ",An electron microscopic study of the intestinal villus: I. The fasting animal,The Journal of Cell Biology,5,3,363-371,1959,Rockefeller University Press,Cannot access
"Saito, F; Kawaguchi, M; Izumida, J; Asakura, T; Maehara, K; Maruyama, Y; ",Alteration in haemodynamics and pathological changes in the cardiovascular system during the development of Type 2 diabetes mellitus in OLETF rats,Diabetologia,46,,1161-1169,2003,Springer,Read
