Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Assareh, Elham; Mehrnejad, Faramarz; Mansouri, Kamran; Esmaeili Rastaghi, Ahmad Reza; Naderi-Manesh, Hossein; Asghari, S Mohsen; ",A cyclic peptide reproducing the α1 helix of VEGF-B binds to VEGFR-1 and VEGFR-2 and inhibits angiogenesis and tumor growth,Biochemical Journal,476,4,645-663,2019,Portland Press Ltd.
"Ma, Lin; Gu, Kai; Zhang, Cheng-hai; Chen, Xue-tao; Jiang, Yi; Melcher, Karsten; Zhang, Juan; Wang, Min; Xu, H Eric; ",Generation and characterization of a human nanobody against VEGFR-2,Acta Pharmacologica Sinica,37,6,857-864,2016,Nature Publishing Group
"Ma, Yihui; Zechariah, Anil; Qu, Yan; Hermann, Dirk M; ",Effects of vascular endothelial growth factor in ischemic stroke,Journal of neuroscience research,90,10,1873-1882,2012,Wiley Online Library
"Ewan, Lorna C; Jopling, Helen M; Jia, Haiyan; Mittar, Shweta; Bagherzadeh, Azadeh; Howell, Gareth J; Walker, John H; Zachary, Ian C; Ponnambalam, Sreenivasan; ","Intrinsic tyrosine kinase activity is required for vascular endothelial growth factor receptor 2 ubiquitination, sorting and degradation in endothelial cells",Traffic,7,9,1270-1282,2006,Wiley Online Library
"Stuttfeld, Edward; Ballmer‐Hofer, Kurt; ",Structure and function of VEGF receptors,IUBMB life,61,9,915-922,2009,Wiley Online Library
"Shahbazi, Behzad; Arab, Seyed Shahriar; Mafakher, Ladan; Azadmansh, Kayhan; Teimoori-Toolabi, Ladan; ",Computational assessment of pigment epithelium-derived factor as an anti-cancer protein during its interaction with the receptors,Journal of Biomolecular Structure and Dynamics,41,10,4575-4591,2023,Taylor & Francis
"Kaiser, Stephanie M; Arepalli, Sruthi; Ehlers, Justis P; ",Current and future anti-VEGF agents for neovascular age-related macular degeneration,Journal of experimental pharmacology,,,905-912,2021,Taylor & Francis
"Tekabe, Yared; Johnson, Lynne L; Rodriquez, Krissy; Li, Qing; Backer, Marina; Backer, Joseph M; ",Selective imaging of vascular endothelial growth factor receptor-1 and receptor-2 in atherosclerotic lesions in diabetic and non-diabetic ApoE−/− mice,Molecular Imaging and Biology,20,,85-93,2018,Springer
"Wu, Florence TH; Stefanini, Marianne O; Mac Gabhann, Feilim; Popel, Aleksander S; ",A compartment model of VEGF distribution in humans in the presence of soluble VEGF receptor-1 acting as a ligand trap,PloS one,4,4,e5108,2009,"Public Library of Science San Francisco, USA"
"Ganta, Vijay Chaitanya; Choi, Min; Kutateladze, Anna; Annex, Brian H; ",VEGF165b modulates endothelial VEGFR1–STAT3 signaling pathway and angiogenesis in human and experimental peripheral arterial disease,Circulation research,120,2,282-295,2017,Am Heart Assoc
"Funahashi, Yasuhiro; Shawber, Carrie J; Vorontchikhina, Marina; Sharma, Anshula; Outtz, Hasina H; Kitajewski, Jan; ",Notch regulates the angiogenic response via induction of VEGFR-1,Journal of angiogenesis research,2,1,1-10,2010,BioMed Central
"Arba, Muhammad; Jasriati, Jasriati; ",Structure-based pharmacophore modelling for identifying VEGFR2 inhibitor,Research Journal of Pharmacy and Technology,13,7,3129-3134,2020,A & V Publications
"Ng, Y‐S; Rohan, R; Sunday, ME; Demello, DE; D'amore, PA; ",Differential expression of VEGF isoforms in mouse during development and in the adult,Developmental dynamics: an official publication of the American Association of Anatomists,220,2,112-121,2001,Wiley Online Library
"Fan, Fan; Wey, Jane S; McCarty, Marya F; Belcheva, Anna; Liu, Wenbiao; Bauer, Todd W; Somcio, Ray J; Wu, Yan; Hooper, Andrea; Hicklin, Daniel J; ",Expression and function of vascular endothelial growth factor receptor-1 on human colorectal cancer cells,Oncogene,24,16,2647-2653,2005,Nature Publishing Group
"Imoukhuede, PI; Dokun, Ayotunde O; Annex, Brian H; Popel, Aleksander S; ",Endothelial cell-by-cell profiling reveals the temporal dynamics of VEGFR1 and VEGFR2 membrane localization after murine hindlimb ischemia,American Journal of Physiology-Heart and Circulatory Physiology,304,8,H1085-H1093,2013,"American Physiological Society Bethesda, MD"
"Bando, H; Weich, HA; Brokelmann, M; Horiguchi, S; Funata, N; Ogawa, T; Toi, M; ","Association between intratumoral free and total VEGF, soluble VEGFR-1, VEGFR-2 and prognosis in breast cancer",British journal of cancer,92,3,553-561,2005,Nature Publishing Group
"Asthana, S; Agarwal, T; Singothu, S; Samal, A; Banerjee, I; Pal, K; Pramanik, K; Ray, SS; ",Molecular docking and interactions of Pueraria tuberosa with vascular endothelial growth factor receptors,Indian Journal of Pharmaceutical Sciences,77,4,439,2015,Wolters Kluwer--Medknow Publications
"Ho, Vivienne C; Duan, Li-Juan; Cronin, Chunxia; Liang, Bruce T; Fong, Guo-Hua; ",Elevated vascular endothelial growth factor receptor-2 abundance contributes to increased angiogenesis in vascular endothelial growth factor receptor-1–deficient mice,Circulation,126,6,741-752,2012,Am Heart Assoc
"Heidenreich, Regina; Machein, Marcia; Nicolaus, Anke; Hilbig, Andreas; Wild, Carola; Clauss, Matthias; Plate, Karl H; Breier, Georg; ",Inhibition of solid tumor growth by gene transfer of VEGF receptor‐1 mutants,International journal of cancer,111,3,348-357,2004,Wiley Online Library
"Wang, Eunice S; Teruya-Feldstein, Julie; Wu, Yan; Zhu, Zhenping; Hicklin, Daniel J; Moore, Malcolm AS; ",Targeting autocrine and paracrine VEGF receptor pathways inhibits human lymphoma xenografts in vivo,Blood,104,9,2893-2902,2004,American Society of Hematology
"Park, Seong Ah; Jeong, Mi Suk; Ha, Ki-Tae; Jang, Se Bok; ",Structure and function of vascular endothelial growth factor and its receptor system,BMB reports,51,2,73,2018,Korean Society for Biochemistry and Molecular Biology
"Eldehna, Wagdy M; Abou-Seri, Sahar M; El Kerdawy, Ahmed M; Ayyad, Rezk R; Hamdy, Abdallah M; Ghabbour, Hazem A; Ali, Mamdouh M; Abou El Ella, Dalal A; ","Increasing the binding affinity of VEGFR-2 inhibitors by extending their hydrophobic interaction with the active site: Design, synthesis and biological evaluation of 1-substituted-4-(4-methoxybenzyl) phthalazine derivatives",European Journal of Medicinal Chemistry,113,,50-62,2016,Elsevier
"Khan, Gausal A; Girish, Gannareddy V; Lala, Neena; Di Guglielmo, Gianni M; Lala, Peeyush K; ",Decorin is a novel VEGFR-2-binding antagonist for the human extravillous trophoblast,Molecular endocrinology,25,8,1431-1443,2011,Oxford University Press
"Joukov, Vladimir; Pajusola, Katri; Kaipainen, Arja; Chilov, Dmitri; Lahtinen, Isto; Kukk, Eola; Saksela, Olli; Kalkkinen, Nisse; Alitalo, Kari; ","A novel vascular endothelial growth factor, VEGF‐C, is a ligand for the Flt4 (VEGFR‐3) and KDR (VEGFR‐2) receptor tyrosine kinases.",The EMBO journal,15,2,290-298,1996,
"Chen, Si; Imoukhuede, PI; ",Multiplexing angiogenic receptor quantification via quantum dots,Analytical chemistry,91,12,7603-7612,2019,ACS Publications
"Mousavi, Seyed Ali; Skjeldal, Frode; Fønhus, Marita Sporstøl; Haugen, Linda Hofstad; Eskild, Winnie; Berg, Trond; Bakke, Oddmund; ",Receptor-mediated endocytosis of VEGF-A in rat liver sinusoidal endothelial cells,BioMed research international,2019,,,2019,Hindawi
"Yan, Ji-Dong; Liu, Yanrong; Zhang, Zhi-Yong; Liu, Guang-Yin; Xu, Jin-Heng; Liu, Li-Yun; Hu, Yue-Ming; ",Expression and prognostic significance of VEGFR-2 in breast cancer,Pathology-Research and Practice,211,7,539-543,2015,Elsevier
"Usui, Tomohiko; Ishida, Susumu; Yamashiro, Kenji; Kaji, Yuichi; Poulaki, Vasiliki; Moore, Johnny; Moore, Tara; Amano, Shiro; Horikawa, Yoshitaka; Dartt, Darlene; ",VEGF164 (165) as the pathological isoform: differential leukocyte and endothelial responses through VEGFR1 and VEGFR2,Investigative ophthalmology & visual science,45,2,368-374,2004,The Association for Research in Vision and Ophthalmology
"Zachary, Ian; Gliki, Georgia; ",Signaling transduction mechanisms mediating biological actions of the vascular endothelial growth factor family,Cardiovascular research,49,3,568-581,2001,Elsevier Science
"Grünewald, Felix S; Prota, Andrea E; Giese, Alexandra; Ballmer-Hofer, Kurt; ",Structure–function analysis of VEGF receptor activation and the role of coreceptors in angiogenic signaling,Biochimica et Biophysica Acta (BBA)-Proteins and Proteomics,1804,3,567-580,2010,Elsevier
"Melincovici, Carmen Stanca; Boşca, Adina Bianca; Şuşman, Sergiu; Mărginean, Mariana; Mihu, Carina; Istrate, Mihnea; Moldovan, Ioana-Maria; Roman, Alexandra Livia; Mihu, Carmen Mihaela; ",Vascular endothelial growth factor (VEGF)-key factor in normal and pathological angiogenesis,Rom J Morphol Embryol,59,2,455-467,2018,
"Shraga‐Heled, Niva; Kessler, Ofra; Prahst, Claudia; Kroll, Jens; Augustin, Hellmut; Neufeld, Gera; ",Neuropilin‐1 and neuropilin‐2 enhance VEGF121 stimulated signal transduction by the VEGFR‐2 receptor,The FASEB Journal,21,3,915-926,2007,Wiley Online Library
"Shibuya, Masabumi; ",VEGFR and type-V RTK activation and signaling,Cold Spring Harbor perspectives in biology,5,10,a009092,2013,Cold Spring Harbor Lab
"Huang, Yuhui; Chen, Xiaolan; Dikov, Mikhail M; Novitskiy, Sergey V; Mosse, Claudio A; Yang, Li; Carbone, David P; ",Distinct roles of VEGFR-1 and VEGFR-2 in the aberrant hematopoiesis associated with elevated levels of VEGF,"Blood, The Journal of the American Society of Hematology",110,2,624-631,2007,"American Society of Hematology Washington, DC"
"Stacker, Steven A; Vitali, Angela; Caesar, Carol; Domagala, Teresa; Groenen, Leo C; Nice, Edouard; Achen, Marc G; Wilks, Andrew F; ",A mutant form of vascular endothelial growth factor (VEGF) that lacks VEGF receptor-2 activation retains the ability to induce vascular permeability,Journal of Biological Chemistry,274,49,34884-34892,1999,ASBMB
"Ishizaki, Hidenobu; Tsunoda, Takuya; Wada, Satoshi; Yamauchi, Mai; Shibuya, Masabumi; Tahara, Hideaki; ",Inhibition of tumor growth with antiangiogenic cancer vaccine using epitope peptides derived from human vascular endothelial growth factor receptor 1,Clinical Cancer Research,12,19,5841-5849,2006,AACR
"Wise, Lyn M; Veikkola, Tanja; Mercer, Andrew A; Savory, Loreen J; Fleming, Stephen B; Caesar, Carol; Vitali, Angela; Makinen, Taija; Alitalo, Kari; Stacker, Steven A; ",Vascular endothelial growth factor (VEGF)-like protein from orf virus NZ2 binds to VEGFR2 and neuropilin-1,Proceedings of the National Academy of Sciences,96,6,3071-3076,1999,National Acad Sciences
"Garofalo, Antonio; Goossens, Laurence; Six, Perrine; Lemoine, Amélie; Ravez, Séverine; Farce, Amaury; Depreux, Patrick; ",Impact of aryloxy-linked quinazolines: A novel series of selective VEGFR-2 receptor tyrosine kinase inhibitors,Bioorganic & medicinal chemistry letters,21,7,2106-2112,2011,Elsevier
"Herzog, Birger; Pellet-Many, Caroline; Britton, Gary; Hartzoulakis, Basil; Zachary, Ian C; ","VEGF binding to NRP1 is essential for VEGF stimulation of endothelial cell migration, complex formation between NRP1 and VEGFR2, and signaling via FAK Tyr407 phosphorylation",Molecular biology of the cell,22,15,2766-2776,2011,Am Soc Cell Biol
"Autiero, Monica; Luttun, Aernout; Tjwa, Marc; Carmeliet, Peter; ","Placental growth factor and its receptor, vascular endothelial growth factor receptor-1: novel targets for stimulation of ischemic tissue revascularization and inhibition of angiogenic and inflammatory disorders",Journal of Thrombosis and Haemostasis,1,7,1356-1370,2003,Elsevier
"Mac Gabhann, Feilim; Popel, Aleksander S; ",Differential binding of VEGF isoforms to VEGF receptor 2 in the presence of neuropilin-1: a computational model,American Journal of Physiology-Heart and Circulatory Physiology,288,6,H2851-H2860,2005,American Physiological Society
"Caporale, Andrea; Martin, Aaron D; Capasso, Dominga; Focà, Giuseppina; Sandomenico, Annamaria; D'Andrea, Luca Domenico; Grieco, Paolo; Ruvo, Menotti; Doti, Nuzianna; ",Short PlGF‐derived peptides bind VEGFR‐1 and VEGFR‐2 in vitro and on the surface of endothelial cells,Journal of Peptide Science,25,5,e3146,2019,Wiley Online Library
"Lohela, Marja; Bry, Maija; Tammela, Tuomas; Alitalo, Kari; ",VEGFs and receptors involved in angiogenesis versus lymphangiogenesis,Current opinion in cell biology,21,2,154-165,2009,Elsevier
"Lacal, Pedro Miguel; Graziani, Grazia; ",Therapeutic implication of vascular endothelial growth factor receptor-1 (VEGFR-1) targeting in cancer cells and tumor microenvironment by competitive and non-competitive inhibitors,Pharmacological research,136,,97-107,2018,Elsevier
"Holash, Jocelyn; Davis, Sam; Papadopoulos, Nick; Croll, Susan D; Ho, Lillian; Russell, Michelle; Boland, Patricia; Leidich, Ray; Hylton, Donna; Burova, Elena; ",VEGF-Trap: a VEGF blocker with potent antitumor effects,Proceedings of the National Academy of Sciences,99,17,11393-11398,2002,National Acad Sciences
"Cébe-Suarez, Stéphanie; Grünewald, Felix S; Jaussi, Rolf; Li, Xiujuan; Claesson-Welsh, Lena; Spillmann, Dorothe; Mercer, Andrew A; Prota, Andrea E; Ballmer-Hofer, Kurt; ",Orf virus VEGF‐E NZ2 promotes paracellular NRP‐1/VEGFR‐2 coreceptor assembly via the peptide RPPR,The FASEB Journal,22,8,3078-3086,2008,Wiley Online Library
"Xin, Hong; Biswas, Nilima; Li, Pin; Zhong, Cuiling; Chan, Tamara C; Nudleman, Eric; Ferrara, Napoleone; ",Heparin-binding VEGFR1 variants as long-acting VEGF inhibitors for treatment of intraocular neovascular disorders,Proceedings of the National Academy of Sciences,118,21,e1921252118,2021,National Acad Sciences
"Veikkola, Tanja; Karkkainen, Marika; Claesson-Welsh, Lena; Alitalo, Kari; ",Regulation of angiogenesis via vascular endothelial growth factor receptors,Cancer research,60,2,203-212,2000,AACR
"Peach, Chloe J; Kilpatrick, Laura E; Friedman-Ohana, Rachel; Zimmerman, Kris; Robers, Matthew B; Wood, Keith V; Woolard, Jeanette; Hill, Stephen J; ",Real-time ligand binding of fluorescent VEGF-A isoforms that discriminate between VEGFR2 and NRP1 in living cells,Cell chemical biology,25,10,1208-1218. e5,2018,Elsevier
"Lee, Jae-Ho; Choi, Sun; Lee, Yoonji; Lee, Hyo-Jeong; Kim, Kwan-Hyun; Ahn, Kyoo-Seok; Bae, Hyunsoo; Lee, Hyo-Jung; Lee, Eun-Ok; Ahn, Kwang-Seok; ",Herbal compound farnesiferol C exerts antiangiogenic and antitumor activity and targets multiple aspects of VEGFR1 (Flt1) or VEGFR2 (Flk1) signaling cascades,Molecular cancer therapeutics,9,2,389-399,2010,AACR
"Riely, Gregory J; Miller, Vincent A; ",Vascular endothelial growth factor trap in non–small cell lung cancer,Clinical cancer research,13,15,4623s-4627s,2007,AACR
"Wittko-Schneider, Ina M; Schneider, Fabian T; Plate, Karl H; ",Brain homeostasis: VEGF receptor 1 and 2—two unequal brothers in mind,Cellular and Molecular Life Sciences,70,,1705-1725,2013,Springer
"Gill, Balraj Singh; Navgeet; Kumar, Sanjeev; ",Ganoderic acid targeting multiple receptors in cancer: in silico and in vitro study,Tumor Biology,37,,14271-14290,2016,Springer
"Goyal, Atul; Pal, Nutan; Concannon, Matthew; Paul, Matthew; Doran, Mike; Poluzzi, Chiara; Sekiguchi, Kiyotoshi; Whitelock, John M; Neill, Thomas; Iozzo, Renato V; ","Endorepellin, the angiostatic module of perlecan, interacts with both the α2β1 integrin and vascular endothelial growth factor receptor 2 (VEGFR2): a dual receptor antagonism",Journal of Biological Chemistry,286,29,25947-25962,2011,ASBMB
"Cebe Suarez, S; Pieren, M; Cariolato, L; Arn, S; Hoffmann, U; Bogucki, A; Manlius, C; Wood, J; Ballmer-Hofer, K; ",A VEGF-A splice variant defective for heparan sulfate and neuropilin-1 binding shows attenuated signaling through VEGFR-2,Cellular and Molecular Life Sciences CMLS,63,,2067-2077,2006,Springer
"Papo, Niv; Silverman, Adam P; Lahti, Jennifer L; Cochran, Jennifer R; ",Antagonistic VEGF variants engineered to simultaneously bind to and inhibit VEGFR2 and α v β 3 integrin,Proceedings of the National Academy of Sciences,108,34,14067-14072,2011,National Acad Sciences
"Roskoski Jr, Robert; ",Vascular endothelial growth factor (VEGF) and VEGF receptor inhibitors in the treatment of renal cell carcinomas,Pharmacological Research,120,,116-132,2017,Elsevier
"Takahashi, Hiroyuki; Hattori, Shosaku; Iwamatsu, Akihiro; Takizawa, Hajime; Shibuya, Masabumi; ",A novel snake venom vascular endothelial growth factor (VEGF) predominantly induces vascular permeability through preferential signaling via VEGF receptor-1,Journal of Biological Chemistry,279,44,46304-46314,2004,ASBMB
"Luo, Haiming; England, Christopher G; Graves, Stephen A; Sun, Haiyan; Liu, Glenn; Nickles, Robert J; Cai, Weibo; ",PET imaging of VEGFR-2 expression in lung cancer with 64Cu-labeled ramucirumab,Journal of Nuclear Medicine,57,2,285-290,2016,Soc Nuclear Med
"Leppänen, Veli-Matti; Jeltsch, Michael; Anisimov, Andrey; Tvorogov, Denis; Aho, Kukka; Kalkkinen, Nisse; Toivanen, Pyry; Ylä-Herttuala, Seppo; Ballmer-Hofer, Kurt; Alitalo, Kari; ",Structural determinants of vascular endothelial growth factor-D receptor binding and specificity,"Blood, The Journal of the American Society of Hematology",117,5,1507-1515,2011,"American Society of Hematology Washington, DC"
"Xue, Songyi; Wang, Lei; Cai, Jianfeng; ",Sulfono‐γ‐AApeptides as Protein Helical Domain Mimetics to Manipulate the Angiogenesis,ChemBioChem,23,22,e202200298,2022,Wiley Online Library
"Breier, Georg; Clauss, Matthias; Risau, Werner; ",Coordinate expression of vascular endothelial growth factor receptor‐1 (fit‐1) and its ligand suggests a paracrine regulation of murine vascular development,Developmental Dynamics,204,3,228-239,1995,Wiley Online Library
"Yoshitomi, Toru; Hayashi, Misako; Oguro, Takumi; Kimura, Keiko; Wayama, Fumiya; Furusho, Hitoshi; Yoshimoto, Keitaro; ",Binding and structural properties of DNA aptamers with VEGF-A-mimic activity,Molecular Therapy-Nucleic Acids,19,,1145-1152,2020,Elsevier
"Markovic-Mueller, Sandra; Stuttfeld, Edward; Asthana, Mayanka; Weinert, Tobias; Bliven, Spencer; Goldie, Kenneth N; Kisko, Kaisa; Capitani, Guido; Ballmer-Hofer, Kurt; ",Structure of the Full-length VEGFR-1 Extracellular Domain in Complex with VEGF-A,Structure,25,2,341-352,2017,Elsevier
"Yamazaki, Yasuo; Morita, Takashi; ",Molecular and functional diversity of vascular endothelial growth factors,Molecular diversity,10,,515-527,2006,Springer
"von Wronski, Mathew A; Raju, Natarajan; Pillai, Radhakrishna; Bogdan, Nancy J; Marinelli, Edmund R; Nanjappan, Palaniappa; Ramalingam, Kondareddiar; Arunachalam, Thangavel; Eaton, Steve; Linder, Karen E; ",Tuftsin binds neuropilin-1 through a sequence similar to that encoded by exon 8 of vascular endothelial growth factor,Journal of Biological Chemistry,281,9,5702-5710,2006,ASBMB
"Joukov, Vladimir; Kaipainen, Arja; Jeltsch, Michael; Pajusola, Katri; Olofsson, Birgitta; Kumar, Vijay; Eriksson, Ulf; Alitalo, Kari; ",Vascular endothelial growth factors VEGF‐B and VEGF‐C,Journal of cellular physiology,173,2,211-215,1997,"Wiley Subscription Services, Inc., A Wiley Company Hoboken"
"Shibuya, Masabumi; Claesson-Welsh, Lena; ",Signal transduction by VEGF receptors in regulation of angiogenesis and lymphangiogenesis,Experimental cell research,312,5,549-560,2006,Elsevier
"Abdulkadir, Sami; Li, Chunpu; Jiang, Wei; Zhao, Xue; Sang, Peng; Wei, Lulu; Hu, Yong; Li, Qi; Cai, Jianfeng; ",Modulating angiogenesis by proteomimetics of vascular endothelial growth factor,Journal of the American Chemical Society,144,1,270-281,2021,ACS Publications
"Pieh, Christina; Agostini, Hansjürgen; Buschbeck, Christiane; Krüger, Marcus; Schulte-Mönting, Jürgen; Zirrgiebel, Ute; Drevs, Joachim; Lagrèze, Wolf Alexander; ","VEGF-A, VEGFR-1, VEGFR-2 and Tie2 levels in plasma of premature infants: relationship to retinopathy of prematurity",British journal of ophthalmology,92,5,689-693,2008,BMJ Publishing Group Ltd
"Mac Gabhann, Feilim; Popel, Aleksander S; ",Dimerization of VEGF receptors and implications for signal transduction: a computational study,Biophysical chemistry,128,2-3,125,2007,NIH Public Access
"Chen, Yuh-Ling; Tsai, Inn-Ho; Hong, Tse-Ming; Tsai, Shu-Huei; ",Crotalid venom vascular endothelial growth factors has preferential affinity for VEGFR-1,Thrombosis and haemostasis,93,02,331-338,2005,Schattauer GmbH
"Wang, Hui; Cai, Weibo; Chen, Kai; Li, Zi-Bo; Kashefi, Amir; He, Lina; Chen, Xiaoyuan; ",A new PET tracer specific for vascular endothelial growth factor receptor 2,European journal of nuclear medicine and molecular imaging,34,,2001-2010,2007,Springer
"Barta, Pavel; Kamaraj, Rajamanikkam; Kucharova, Monika; Novy, Zbynek; Petrik, Milos; Bendova, Katerina; Hajduch, Marian; Pavek, Petr; Trejtnar, Frantisek; ","Preparation, In Vitro Affinity, and In Vivo Biodistribution of Receptor-Specific 68Ga-Labeled Peptides Targeting Vascular Endothelial Growth Factor Receptors",Bioconjugate Chemistry,33,10,1825-1836,2022,ACS Publications
"List, Alan F; Glinsmann-Gibson, Betty; Stadheim, Chad; Meuillet, Emmanuelle J; Bellamy, William; Powis, Garth; ",Vascular endothelial growth factor receptor-1 and receptor-2 initiate a phosphatidylinositide 3-kinase–dependent clonogenic response in acute myeloid leukemia cells,Experimental Hematology,32,6,526-535,2004,Elsevier
"McColl, Bradley K; Paavonen, Karri; Karnezis, Tara; Harris, Nicole C; Davydova, Natalia; Rothacker, Julie; Nice, Edouard C; Harder, Kenneth W; Roufail, Sally; Hibbs, Margaret L; ","Proprotein convertases promote processing of VEGF‐D, a critical step for binding the angiogenic receptor VEGFR‐2",The FASEB Journal,21,4,1088-1098,2007,Wiley Online Library
"Bruns, Alexander F; Bao, Leyuan; Walker, John H; Ponnambalam, Sreenivasan; ",VEGF-A-stimulated signalling in endothelial cells via a dual receptor tyrosine kinase system is dependent on co-ordinated trafficking and proteolysis,Biochemical Society Transactions,37,6,1193-1197,2009,Portland Press Ltd.
"Meyer, Jan-Philip; Edwards, Kimberly J; Kozlowski, Paul; Backer, Marina V; Backer, Joseph M; Lewis, Jason S; ",Selective imaging of VEGFR-1 and VEGFR-2 using 89Zr-labeled single-chain VEGF mutants,Journal of Nuclear Medicine,57,11,1811-1816,2016,Soc Nuclear Med
"Takahashi, Satoru; ","Vascular endothelial growth factor (VEGF), VEGF receptors and their inhibitors for antiangiogenic tumor therapy",Biological and Pharmaceutical Bulletin,34,12,1785-1788,2011,The Pharmaceutical Society of Japan
"Otrock, Zaher K; Makarem, Jawad A; Shamseddine, Ali I; ",Vascular endothelial growth factor family of ligands and receptors,"Blood Cells, Molecules, and Diseases",38,3,258-268,2007,Elsevier
"Guo, Shanchun; Colbert, Laronna S; Fuller, Miles; Zhang, Yuanyuan; Gonzalez-Perez, Ruben R; ",Vascular endothelial growth factor receptor-2 in breast cancer,Biochimica et Biophysica Acta (BBA)-Reviews on Cancer,1806,1,108-121,2010,Elsevier
"Bagri, Anil; Tessier-Lavigne, Marc; Watts, Ryan J; ",Neuropilins in tumor biology,Clinical Cancer Research,15,6,1860-1864,2009,AACR
"Cao, Yihai; ",Positive and negative modulation of angiogenesis by VEGFR1 ligands,Science signaling,2,59,re1-re1,2009,American Association for the Advancement of Science
"Jinnin, Masatoshi; Medici, Damian; Park, Lucy; Limaye, Nisha; Liu, Yanqiu; Boscolo, Elisa; Bischoff, Joyce; Vikkula, Miikka; Boye, Eileen; Olsen, Bjorn R; ",Suppressed NFAT-dependent VEGFR1 expression and constitutive VEGFR2 signaling in infantile hemangioma,Nature medicine,14,11,1236-1246,2008,Nature Publishing Group US New York
"Shibuya, Masabumi; ",VEGF-VEGFR system as a target for suppressing inflammation and other diseases,"Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets-Immune, Endocrine & Metabolic Disorders)",15,2,135-144,2015,Bentham Science Publishers
"Nieminen, Tiina; Toivanen, Pyry I; Rintanen, Nina; Heikura, Tommi; Jauhiainen, Suvi; Airenne, Kari J; Alitalo, Kari; Marjomäki, Varpu; Ylä-Herttuala, Seppo; ",The impact of the receptor binding profiles of the vascular endothelial growth factors on their angiogenic features,Biochimica et Biophysica Acta (BBA)-General Subjects,1840,1,454-463,2014,Elsevier
"Yang, Yan; Xie, Peng; Opatowsky, Yarden; Schlessinger, Joseph; ",Direct contacts between extracellular membrane-proximal domains are required for VEGF receptor activation and cell signaling,Proceedings of the National Academy of Sciences,107,5,1906-1911,2010,National Acad Sciences
"Anisimov, Andrey; Leppänen, Veli-Matti; Tvorogov, Denis; Zarkada, Georgia; Jeltsch, Michael; Holopainen, Tanja; Kaijalainen, Seppo; Alitalo, Kari; ",The basis for the distinct biological activities of vascular endothelial growth factor receptor–1 ligands,Science signaling,6,282,ra52-ra52,2013,American Association for the Advancement of Science
"Schwartz, Jonathan D; Rowinsky, Eric K; Youssoufian, Hagop; Pytowski, Bronislaw; Wu, Yan; ",Vascular endothelial growth factor receptor‐1 in human cancer: concise review and rationale for development of IMC‐18F1 (human antibody targeting vascular endothelial growth factor receptor‐1),Cancer,116,S4,1027-1032,2010,Wiley Online Library
"Krilleke, Dominik; DeErkenez, Andrea; Schubert, William; Giri, Indrajit; Robinson, Gregory S; Ng, Yin-Shan; Shima, David T; ",Molecular mapping and functional characterization of the VEGF164 heparin-binding domain,Journal of Biological Chemistry,282,38,28045-28056,2007,ASBMB
"Roskoski Jr, Robert; ",VEGF receptor protein–tyrosine kinases: structure and regulation,Biochemical and biophysical research communications,375,3,287-291,2008,Elsevier
"Fleetwood, Filippa; Klint, Susanne; Hanze, Martin; Gunneriusson, Elin; Frejd, Fredrik Y; Ståhl, Stefan; Löfblom, John; ",Simultaneous targeting of two ligand-binding sites on VEGFR2 using biparatopic Affibody molecules results in dramatically improved affinity,Scientific reports,4,1,7518,2014,Nature Publishing Group UK London
"Hsieh, SH; Ying, NW; Wu, MH; Chiang, WF; Hsu, CL; Wong, Tung-Yiu; Jin, YT; Hong, TM; Chen, YL; ","Galectin-1, a novel ligand of neuropilin-1, activates VEGFR-2 signaling and modulates the migration of vascular endothelial cells",Oncogene,27,26,3746-3753,2008,Nature Publishing Group
"Shaik, Faheem; Cuthbert, Gary A; Homer-Vanniasinkam, Shervanthi; Muench, Stephen P; Ponnambalam, Sreenivasan; Harrison, Michael A; ",Structural basis for vascular endothelial growth factor receptor activation and implications for disease therapy,Biomolecules,10,12,1673,2020,MDPI
"Mamer, Spencer B; Chen, Si; Weddell, Jared C; Palasz, Alexandra; Wittenkeller, Ashley; Kumar, Manu; Imoukhuede, PI; ",Discovery of high-affinity PDGF-VEGFR interactions: redefining RTK dynamics,Scientific reports,7,1,16439,2017,Nature Publishing Group UK London
"Ulyatt, Clare; Walker, John; Ponnambalam, Sreenivasan; ",Hypoxia differentially regulates VEGFR1 and VEGFR2 levels and alters intracellular signaling and cell migration in endothelial cells,Biochemical and biophysical research communications,404,3,774-779,2011,Elsevier
"Fontanella, Caterina; Ongaro, Elena; Bolzonello, Silvia; Guardascione, Michela; Fasola, Gianpiero; Aprile, Giuseppe; ",Clinical advances in the development of novel VEGFR2 inhibitors,Annals of translational medicine,2,12,,2014,AME Publications
"Kanda, Atsuhiro; Noda, Kousuke; Saito, Wataru; Ishida, Susumu; ","Aflibercept traps galectin-1, an angiogenic factor associated with diabetic retinopathy",Scientific reports,5,1,17946,2015,Nature Publishing Group UK London
